,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone,fare_naira
0,0,3,male,22.0,1,0,7.25,S,Third,man,True,,Southampton,no,False,14500.0
1,1,1,female,38.0,1,0,71.2833,C,First,woman,False,C,Cherbourg,yes,False,142566.6
2,1,3,female,26.0,0,0,7.925,S,Third,woman,False,,Southampton,yes,True,15850.0
3,1,1,female,35.0,1,0,53.1,S,First,woman,False,C,Southampton,yes,False,106200.0
4,0,3,male,35.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,16100.000000000002
5,0,3,male,,0,0,8.4583,Q,Third,man,True,,Queenstown,no,True,16916.6
6,0,1,male,54.0,0,0,51.8625,S,First,man,True,E,Southampton,no,True,103725.0
7,0,3,male,2.0,3,1,21.075,S,Third,child,False,,Southampton,no,False,42150.0
8,1,3,female,27.0,0,2,11.1333,S,Third,woman,False,,Southampton,yes,False,22266.600000000002
9,1,2,female,14.0,1,0,30.0708,C,Second,child,False,,Cherbourg,yes,False,60141.6
10,1,3,female,4.0,1,1,16.7,S,Third,child,False,G,Southampton,yes,False,33400.0
11,1,1,female,58.0,0,0,26.55,S,First,woman,False,C,Southampton,yes,True,53100.0
12,0,3,male,20.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,16100.000000000002
13,0,3,male,39.0,1,5,31.275,S,Third,man,True,,Southampton,no,False,62550.0
14,0,3,female,14.0,0,0,7.8542,S,Third,child,False,,Southampton,no,True,15708.4
15,1,2,female,55.0,0,0,16.0,S,Second,woman,False,,Southampton,yes,True,32000.0
16,0,3,male,2.0,4,1,29.125,Q,Third,child,False,,Queenstown,no,False,58250.0
17,1,2,male,,0,0,13.0,S,Second,man,True,,Southampton,yes,True,26000.0
18,0,3,female,31.0,1,0,18.0,S,Third,woman,False,,Southampton,no,False,36000.0
19,1,3,female,,0,0,7.225,C,Third,woman,False,,Cherbourg,yes,True,14450.0
20,0,2,male,35.0,0,0,26.0,S,Second,man,True,,Southampton,no,True,52000.0
21,1,2,male,34.0,0,0,13.0,S,Second,man,True,D,Southampton,yes,True,26000.0
22,1,3,female,15.0,0,0,8.0292,Q,Third,child,False,,Queenstown,yes,True,16058.4
23,1,1,male,28.0,0,0,35.5,S,First,man,True,A,Southampton,yes,True,71000.0
24,0,3,female,8.0,3,1,21.075,S,Third,child,False,,Southampton,no,False,42150.0
25,1,3,female,38.0,1,5,31.3875,S,Third,woman,False,,Southampton,yes,False,62775.0
26,0,3,male,,0,0,7.225,C,Third,man,True,,Cherbourg,no,True,14450.0
27,0,1,male,19.0,3,2,263.0,S,First,man,True,C,Southampton,no,False,526000.0
28,1,3,female,,0,0,7.8792,Q,Third,woman,False,,Queenstown,yes,True,15758.4
29,0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True,15791.6
30,0,1,male,40.0,0,0,27.7208,C,First,man,True,,Cherbourg,no,True,55441.6
31,1,1,female,,1,0,146.5208,C,First,woman,False,B,Cherbourg,yes,False,293041.60000000003
32,1,3,female,,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True,15500.0
33,0,2,male,66.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,21000.0
34,0,1,male,28.0,1,0,82.1708,C,First,man,True,,Cherbourg,no,False,164341.6
35,0,1,male,42.0,1,0,52.0,S,First,man,True,,Southampton,no,False,104000.0
36,1,3,male,,0,0,7.2292,C,Third,man,True,,Cherbourg,yes,True,14458.4
37,0,3,male,21.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,16100.000000000002
38,0,3,female,18.0,2,0,18.0,S,Third,woman,False,,Southampton,no,False,36000.0
39,1,3,female,14.0,1,0,11.2417,C,Third,child,False,,Cherbourg,yes,False,22483.399999999998
40,0,3,female,40.0,1,0,9.475,S,Third,woman,False,,Southampton,no,False,18950.0
41,0,2,female,27.0,1,0,21.0,S,Second,woman,False,,Southampton,no,False,42000.0
42,0,3,male,,0,0,7.8958,C,Third,man,True,,Cherbourg,no,True,15791.6
43,1,2,female,3.0,1,2,41.5792,C,Second,child,False,,Cherbourg,yes,False,83158.4
44,1,3,female,19.0,0,0,7.8792,Q,Third,woman,False,,Queenstown,yes,True,15758.4
